Employee_ID,Name,Age,Salary,Department
1,Employee1,22,63592,HR
2,Employee2,25,75213,HR
3,Employee3,25,83538,HR
4,Employee4,31,65875,Engineering
5,Employee5,41,58286,Marketing
6,Employee6,43,88763,Marketing
7,Employee7,45,68728,HR
8,Employee8,28,63640,Marketing
9,Employee9,46,53091,Finance
10,Employee10,46,53912,Finance
11,Employee11,34,56594,Engineering
12,Employee12,23,71752,Engineering
13,Employee13,45,73532,Engineering
14,Employee14,46,57997,Finance
15,Employee15,39,65620,Engineering
16,Employee16,47,54845,Engineering
17,Employee17,35,76763,HR
18,Employee18,30,53533,Engineering
19,Employee19,31,52937,Finance
20,Employee20,42,76221,Engineering
21,Employee21,38,87707,Engineering
22,Employee22,27,69608,HR
23,Employee23,37,55021,HR
24,Employee24,22,76773,Engineering
25,Employee25,40,83902,Engineering
26,Employee26,46,67340,Finance
27,Employee27,51,51913,Marketing
28,Employee28,41,63429,Marketing
29,Employee29,41,63907,Engineering
30,Employee30,36,85489,Marketing
31,Employee31,54,60088,Marketing
32,Employee32,23,65588,Marketing
33,Employee33,31,88395,Finance
34,Employee34,54,88214,Finance
35,Employee35,53,50469,Engineering
36,Employee36,32,58717,Finance
37,Employee37,45,84488,Marketing
38,Employee38,33,88040,Finance
39,Employee39,50,66975,HR
40,Employee40,22,88953,Marketing
41,Employee41,22,65912,Marketing
42,Employee42,27,78086,Engineering
43,Employee43,39,66591,Engineering
44,Employee44,37,65115,Engineering
45,Employee45,26,64447,Finance
46,Employee46,53,78665,Engineering
47,Employee47,23,61052,Engineering
48,Employee48,23,65741,Engineering
49,Employee49,33,78739,Finance
50,Employee50,40,55103,HR
51,Employee51,49,85050,Marketing
52,Employee52,22,51740,Engineering
53,Employee53,36,62579,HR
54,Employee54,34,55846,Marketing
55,Employee55,42,70165,Engineering
56,Employee56,33,52775,Engineering
57,Employee57,26,68987,Finance
58,Employee58,28,80752,HR
59,Employee59,26,73563,Finance
60,Employee60,25,63928,Marketing
61,Employee61,34,56356,HR
62,Employee62,36,83930,Finance
63,Employee63,37,78651,HR
64,Employee64,42,65997,Finance
65,Employee65,45,83391,HR
66,Employee66,37,82232,HR
67,Employee67,35,58962,Marketing
68,Employee68,43,70435,Marketing
69,Employee69,27,84009,Marketing
70,Employee70,22,54403,HR
71,Employee71,53,67582,HR
72,Employee72,27,79844,Marketing
73,Employee73,52,69381,Engineering
74,Employee74,22,88429,Marketing
75,Employee75,51,65939,Finance
76,Employee76,25,60787,Marketing
77,Employee77,35,67191,HR
78,Employee78,43,52121,Marketing
79,Employee79,31,74451,HR
80,Employee80,22,53886,Marketing
81,Employee81,32,72450,Marketing
82,Employee82,45,65212,Engineering
83,Employee83,24,59987,Finance
84,Employee84,52,66583,Engineering
85,Employee85,25,84215,HR
86,Employee86,40,55181,HR
87,Employee87,42,61042,Marketing
88,Employee88,39,55208,HR
89,Employee89,49,56177,Marketing
90,Employee90,36,54863,HR
91,Employee91,23,58389,HR
92,Employee92,32,50894,Engineering
93,Employee93,44,80142,HR
94,Employee94,33,82904,Finance
95,Employee95,24,76813,Finance
96,Employee96,38,89041,Finance
97,Employee97,54,75968,HR
98,Employee98,22,63688,HR
99,Employee99,41,53419,Finance
100,Employee100,35,66552,HR
